addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GANGNAM,646,트릿지,https://cdn.rallit.com/image/2023-11-02/Sh63DHw_WuNjtvkRvV38W.jpg,2025-06-03,3445,False,False,IRRELEVANT,IRRELEVANT,"Python, JavaScript, GraphQL, react.js, Django, Flask, Elasticsearch, MongoDB",0,,2025-04-29,HIRING,모집 중,Data Acquisition (계약직),https://www.rallit.com/positions/3445
GANGNAM,944,한국딥러닝,https://cdn.rallit.com/image/2024-04-05/HEnEbPXZFXi-AlcVeo2sa.jpg,9999-12-31,3499,False,False,IRRELEVANT,MIDDLE,"알고리즘, 머신러닝, 컴퓨터 비전, PyTorch, Git, JIRA",50,,1970-01-01,HIRING,모집 중,AI 엔지니어,https://www.rallit.com/positions/3499
SEOUL,655,마카롱팩토리,https://cdn.rallit.com/image/2025-05-20/aGuul3ASND0ei55hvdSMU.png,9999-12-31,3506,False,False,MIDDLE,MIDDLE,"xcode-ide, Swift, MySQL, AWS, dynamodb, Redis, Elasticsearch",0,,1970-01-01,HIRING,모집 중,차량관리 1위 앱 '마이클' iOS 개발 (5년 이상),https://www.rallit.com/positions/3506
PANGYO,1013,(주)다날,https://cdn.rallit.com/image/2024-07-04/ICRfi86h96ayBKUjNV0nu.jpg,9999-12-31,2808,False,False,MIDDLE,MIDDLE,"HTML/CSS, React, Vue.js, JavaScript, Spring, PHP, Python",0,,1970-01-01,HIRING,모집 중,다날 결제시스템 FE개발 경력 채용,https://www.rallit.com/positions/2808
GANGNAM,1368,빅스데이터(주),https://cdn.rallit.com/image/2025-05-26/ASY6omzaK1hXw1tYdhDkS.png,2025-07-31,3540,False,False,IRRELEVANT,"JUNIOR, MIDDLE, SENIOR, TOP","인공지능(AI), Node.js, JavaScript, Java, Python, React, Docker, LLM, REST API",100,,2025-05-27,HIRING,모집 중,AI 기반 자연어 질의 시스템 개발자 (LLM 연동 / VDS 쿼리 자동화),https://www.rallit.com/positions/3540
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3523,False,False,IRRELEVANT,SENIOR,"iOS, Android, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 커머스 앱 개발,https://www.rallit.com/positions/3523
SEOUL,1126,버터소프트 주식회사,https://cdn.rallit.com/image/2024-11-04/rz_7eGooxAX0nJ_IyjzyP.jpg,9999-12-31,3222,False,False,IRRELEVANT,IRRELEVANT,"Java, Kotlin, Spring Boot, Spring, PostgreSQL, MySQL, JPA, querydsl, Docker, Git",0,,1970-01-01,HIRING,모집 중,백엔드 개발자,https://www.rallit.com/positions/3222
ETC,1299,한국전력정보(주),https://cdn.rallit.com/image/2025-03-19/1zBRQZRf76PtZU7-ClS7Y.jpg,9999-12-31,3467,False,False,IRRELEVANT,"BEGINNER, JUNIOR","Java, Spring Boot, MySQL, gitlab, Jenkins, ubuntu, IntelliJ IDEA, MQTT, docker-compose, spring-jpa",0,,1970-01-01,HIRING,모집 중,한국전력정보(주) 백엔드 개발자,https://www.rallit.com/positions/3467
MAPO,800,주식회사 사각,https://cdn.rallit.com/image/2025-04-30/E58mNu18tzpt3j3Fa6Ea1.png,9999-12-31,3451,False,False,IRRELEVANT,"MIDDLE, JUNIOR","Django, FastAPI, NestJS, PostgreSQL, MongoDB, AWS, Redis",0,,1970-01-01,HIRING,모집 중,소프트웨어 엔지니어(Backend),https://www.rallit.com/positions/3451
GYEONGGI,1298,(주)트레블씨투비,https://cdn.rallit.com/image/2025-03-18/kl4Q6btWFrJRz9zjmASnJ.png,9999-12-31,3352,False,False,IRRELEVANT,"JUNIOR, MIDDLE","Kotlin, Swift, Git, GitHub, iOS, Android",0,,1970-01-01,HIRING,모집 중,"모바일 앱 개발자(Android, iOS)",https://www.rallit.com/positions/3352
GANGNAM,1162,(주)크라우드웍스,https://cdn.rallit.com/image/2025-02-12/MO1tcIeq_tRpmc1jV1ita.png,9999-12-31,3242,False,False,IRRELEVANT,MIDDLE,"Python, Java, JavaScript, React, RAG, Linux",0,,1970-01-01,HIRING,모집 중,[크라우드웍스] AI솔루션팀 Full-stack 개발자,https://www.rallit.com/positions/3242
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3534,False,False,IRRELEVANT,SENIOR,"Java, Kotlin, MySQL, ChatGPT, Kafka",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 데이터 백엔드 개발,https://www.rallit.com/positions/3534
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2985,False,True,IRRELEVANT,IRRELEVANT,"JavaScript, HTML/CSS, React, TypeScript",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,[SW] 프론트엔드 개발자 인턴 (React.js) (정규직 전환 가능),https://www.rallit.com/positions/2985
SEOUL,119,스팬딧,https://cdn.rallit.com/image/2022-03-15/Yrf3LyfXGoiSc3QRdXcdO.png,9999-12-31,293,False,False,MIDDLE,MIDDLE,"Ruby on Rails, Ruby, Java, Spring Boot, AWS, JPA, Github, MySQL, PostgreSQL",0,,1970-01-01,HIRING,모집 중,백엔드개발자,https://www.rallit.com/positions/293
GANGNAM,532,(주)위펀,https://cdn.rallit.com/image/2023-06-08/qwVRrT9jGWtbOx8SJ3_Pl.jpg,9999-12-31,1923,False,False,MIDDLE,MIDDLE,"Java, Spring Boot, JPA, querydsl, REST API, Linux, AWS, MySQL, MariaDB",0,,1970-01-01,HIRING,모집 중,(주)위펀 - Backend Engineer,https://www.rallit.com/positions/1923
GURO_GASAN,1053,한솔코에버주식회사,https://cdn.rallit.com/image/2024-08-09/WJZZgR3rfUildYZrqMwEB.png,9999-12-31,2826,False,False,MIDDLE,MIDDLE,"Java, Vue.js, JPA, Spring, Spring Boot",0,,1970-01-01,HIRING,모집 중,JAVA 개발자 경력직 채용,https://www.rallit.com/positions/2826
SEOUL,351,(주)에이티앤피파트너즈,https://cdn.rallit.com/image/2022-11-21/WWJKQHcRvTbrJQpoD9qmy.jpg,9999-12-31,2845,False,False,JUNIOR,JUNIOR,"Java, Spring Boot, PostgreSQL, Redis, JPA, querydsl, Linux, AWS, IntelliJ IDEA, GitHub",0,,1970-01-01,HIRING,모집 중,백엔드 개발자 경력 2년 이상,https://www.rallit.com/positions/2845
GANGNAM,288,리빌더AI,https://cdn.rallit.com/image/2022-09-06/dX9Z9i2n6I635InAWk8DW.png,9999-12-31,1788,False,False,MIDDLE,MIDDLE,"JavaScript, Java, HTML/CSS, TypeScript",0,,1970-01-01,HIRING,모집 중,프런트엔드 개발자 ,https://www.rallit.com/positions/1788
